price,is_weekend_holiday,hour,day_of_week,month,is_dst
45.39,False,4,3,1,False
45.39,False,5,3,1,False
54.82,False,6,3,1,False
55.84,False,7,3,1,False
58.68,False,8,3,1,False
59.11,False,9,3,1,False
58.95,False,10,3,1,False
58.19,False,11,3,1,False
56.94,False,12,3,1,False
56.92,False,13,3,1,False
55.69,False,14,3,1,False
51.89,False,15,3,1,False
49.0,False,16,3,1,False
49.37,False,17,3,1,False
55.69,False,18,3,1,False
57.69,False,19,3,1,False
57.98,False,20,3,1,False
54.19,False,21,3,1,False
48.17,False,22,3,1,False
42.61,False,0,4,1,False
38.12,False,1,4,1,False
37.59,False,2,4,1,False
37.39,False,3,4,1,False
37.09,False,4,4,1,False
36.84,False,5,4,1,False
39.91,False,6,4,1,False
51.27,False,7,4,1,False
57.3,False,8,4,1,False
58.01,False,9,4,1,False
57.6,False,10,4,1,False
53.75,False,11,4,1,False
50.23,False,12,4,1,False
49.2,False,13,4,1,False
48.96,False,14,4,1,False
48.25,False,15,4,1,False
48.25,False,16,4,1,False
51.15,False,17,4,1,False
54.7,False,18,4,1,False
57.98,False,19,4,1,False
58.44,False,20,4,1,False
58.39,False,21,4,1,False
57.3,False,22,4,1,False
51.47,True,0,5,1,False
39.52,True,1,5,1,False
38.12,True,2,5,1,False
38.05,True,3,5,1,False
37.92,True,4,5,1,False
37.92,True,5,5,1,False
38.09,True,6,5,1,False
39.27,True,7,5,1,False
43.45,True,8,5,1,False
51.47,True,9,5,1,False
56.09,True,10,5,1,False
54.15,True,11,5,1,False
49.09,True,12,5,1,False
51.09,True,13,5,1,False
46.95,True,14,5,1,False
44.6,True,15,5,1,False
44.49,True,16,5,1,False
46.0,True,17,5,1,False
57.2,True,18,5,1,False
60.08,True,19,5,1,False
60.59,True,20,5,1,False
60.61,True,21,5,1,False
60.37,True,22,5,1,False
57.12,True,0,6,1,False
53.01,True,1,6,1,False
42.1,True,2,6,1,False
39.98,True,3,6,1,False
39.66,True,4,6,1,False
39.66,True,5,6,1,False
39.81,True,6,6,1,False
39.98,True,7,6,1,False
40.0,True,8,6,1,False
41.6,True,9,6,1,False
50.0,True,10,6,1,False
51.65,True,11,6,1,False
51.58,True,12,6,1,False
52.88,True,13,6,1,False
50.66,True,14,6,1,False
43.42,True,15,6,1,False
41.6,True,16,6,1,False
44.01,True,17,6,1,False
53.95,True,18,6,1,False
59.58,True,19,6,1,False
